	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag		Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast36	7	10.291	9.0345	33.4141	92.03923	9.40994	1.35E+02	31.7453	0.00E+00								
cast36	8	11.67	9.0184	33.738	91.71815	9.41454	1.18E+02	31.7289	0.00E+00								
cast36	9	13.133	9.0065	33.6755	91.8688	9.41785	1.04E+02	31.7314	0.00E+00								
cast36	10	14.636	8.9992	33.5118	92.47853	9.42065	9.25E+01	31.7206	0.00E+00								
cast36	11	16.139	8.9935	34.0506	92.9079	9.42303	8.23E+01	31.7068	0.00E+00								
cast36	12	17.578	8.9894	34.0917	92.94548	9.42501	7.40E+01	31.691	0.00E+00								
cast36	13	19.033	8.9857	34.1828	92.87415	9.42663	6.64E+01	31.6774	0.00E+00								
cast36	14	20.543	8.9849	34.0611	92.95129	9.42769	5.88E+01	31.6737	0.00E+00								
cast36	15	22.085	8.9845	34.1089	92.72411	9.42822	5.20E+01	31.6635	0.00E+00								
cast36	16	23.502	8.9828	34.154	92.26182	9.42936	4.61E+01	31.6483	0.00E+00								
cast36	17	24.842	8.9834	34.1753	91.95044	9.42996	4.10E+01	31.6418	0.00E+00								
cast36	18	26.211	8.9821	34.1794	91.92244	9.42987	3.63E+01	31.642	0.00E+00								
cast36	19	27.698	8.9811	34.07	92.15045	9.42967	3.20E+01	31.6517	0.00E+00								
cast36	20	29.34	8.9823	34.1393	92.207	9.4293	2.83E+01	31.6585	0.00E+00								
cast36	21	30.849	8.9799	34.3084	91.79759	9.43007	2.52E+01	31.6416	0.00E+00								
cast36	22	32.166	8.9774	34.0745	91.45556	9.43121	2.25E+01	31.6336	0.00E+00								
cast36	23	33.504	8.9766	33.965	91.35922	9.43144	1.99E+01	31.6384	0.00E+00								
cast36	24	35.036	8.9791	34.096	91.44005	9.43071	1.77E+01	31.6498	0.00E+00								
cast36	25	36.627	8.9797	34.043	91.86755	9.43033	1.57E+01	31.649	0.00E+00								
cast36	26	38.237	8.9797	34.1738	92.24095	9.43042	1.41E+01	31.6456	0.00E+00								
cast36	27	39.742	8.9781	34.3688	92.24163	9.43124	1.27E+01	31.6332	0.00E+00								
cast36	28	41.097	8.976	33.977	92.08525	9.43202	1.14E+01	31.6268	0.00E+00								
cast36	29	42.438	8.9746	33.9972	91.91121	9.43225	1.02E+01	31.6289	0.00E+00								
cast36	30	43.847	8.9738	34.0255	91.90137	9.43232	9.20E+00	31.6334	0.00E+00								
cast36	31	45.332	8.9764	34.036	91.88233	9.43201	8.30E+00	31.6387	0.00E+00								
