Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	25	c	9/8/2004	15:08	-152.685	58.635	88	41	40.613	9.2798	24.2551	31.3964	78.58593	7.37753	4.4143	0.2277
6	25	c	9/8/2004	15:08	-152.685	58.635	88	42	41.603	9.2233	24.2807	31.4179	78.09072	7.33933	4.425	0.1961
6	25	c	9/8/2004	15:08	-152.685	58.635	88	43	42.594	9.1822	24.2963	31.4297	77.31555	7.27265	4.4273	0.2152
6	25	c	9/8/2004	15:08	-152.685	58.635	88	44	43.584	9.0961	24.3265	31.4513	76.43322	7.20258	4.4264	0.2191
6	25	c	9/8/2004	15:08	-152.685	58.635	88	45	44.575	8.9351	24.3829	31.4919	75.67376	7.1551	4.4136	0.2143
6	25	c	9/8/2004	15:08	-152.685	58.635	88	46	45.565	8.8695	24.4109	31.5149	75.45048	7.14351	4.4103	0.2025
6	25	c	9/8/2004	15:08	-152.685	58.635	88	47	46.555	8.8324	24.4253	31.5261	75.15159	7.12066	4.4172	0.2132
6	25	c	9/8/2004	15:08	-152.685	58.635	88	48	47.546	8.7761	24.4462	31.5419	74.78715	7.09445	4.4116	0.1886
6	25	c	9/8/2004	15:08	-152.685	58.635	88	49	48.536	8.7065	24.4716	31.5611	74.4533	7.07306	4.4243	0.1893
6	25	c	9/8/2004	15:08	-152.685	58.635	88	50	49.527	8.6444	24.496	31.5803	73.93089	7.03246	4.4263	0.1748
6	25	c	9/8/2004	15:08	-152.685	58.635	88	51	50.517	8.5867	24.5184	31.5979	73.60096	7.00947	4.4256	0.1628
6	25	c	9/8/2004	15:08	-152.685	58.635	88	52	51.507	8.5406	24.536	31.6116	73.31282	6.98872	4.4368	0.1547
6	25	c	9/8/2004	15:08	-152.685	58.635	88	53	52.498	8.4748	24.5579	31.6271	72.44222	6.91535	4.449	0.1535
6	25	c	9/8/2004	15:08	-152.685	58.635	88	54	53.488	8.1552	24.6557	31.6925	71.29495	6.85281	4.4517	0.1256
6	25	c	9/8/2004	15:08	-152.685	58.635	88	55	54.479	7.9159	24.7353	31.7503	70.86619	6.84654	4.4457	0.115
6	25	c	9/8/2004	15:08	-152.685	58.635	88	56	55.469	7.8706	24.7476	31.7578	70.83322	6.85015	4.454	0.1215
6	25	c	9/8/2004	15:08	-152.685	58.635	88	57	56.459	7.849	24.7519	31.7593	70.81619	6.85185	4.4491	0.1086
6	25	c	9/8/2004	15:08	-152.685	58.635	88	58	57.45	7.8316	24.7562	31.7617	70.70189	6.84343	4.4538	0.1079
6	25	c	9/8/2004	15:08	-152.685	58.635	88	59	58.44	7.7546	24.7702	31.7657	70.77848	6.86287	4.4575	0.1072
6	25	c	9/8/2004	15:08	-152.685	58.635	88	60	59.43	7.5011	24.8242	31.7898	71.11065	6.93448	4.4653	0.0916
6	25	c	9/8/2004	15:08	-152.685	58.635	88	61	60.421	7.3716	24.855	31.8065	71.21327	6.96461	4.4767	0.0934
6	25	c	9/8/2004	15:08	-152.685	58.635	88	62	61.411	7.2689	24.883	31.8243	71.15162	6.9744	4.4761	0.0939
6	25	c	9/8/2004	15:08	-152.685	58.635	88	63	62.402	7.2511	24.8874	31.8269	71.16091	6.97807	4.4693	0.0928
6	25	c	9/8/2004	15:08	-152.685	58.635	88	64	63.392	7.2452	24.8882	31.8269	71.14035	6.97702	4.4678	0.0926
6	25	c	9/8/2004	15:08	-152.685	58.635	88	65	64.382	7.1893	24.8993	31.8315	70.98073	6.97023	4.4634	0.0907
6	25	c	9/8/2004	15:08	-152.685	58.635	88	66	65.373	7.0653	24.9303	31.8499	70.93477	6.98505	4.4653	0.0911
6	25	c	9/8/2004	15:08	-152.685	58.635	88	67	66.363	6.9911	24.9487	31.8608	70.69998	6.97351	4.4589	0.0846
6	25	c	9/8/2004	15:08	-152.685	58.635	88	68	67.353	6.8136	24.992	31.8865	70.53933	6.98549	4.4625	0.0819
6	25	c	9/8/2004	15:08	-152.685	58.635	88	69	68.344	6.6813	25.0282	31.9107	70.51466	7.00365	4.4698	0.083
6	25	c	9/8/2004	15:08	-152.685	58.635	88	70	69.334	6.6391	25.0382	31.9166	70.51916	7.01079	4.4731	0.0808
6	25	c	9/8/2004	15:08	-152.685	58.635	88	71	70.324	6.6255	25.0416	31.9185	70.55542	7.01656	4.4725	0.0766
6	25	c	9/8/2004	15:08	-152.685	58.635	88	72	71.314	6.6197	25.0423	31.9185	70.58789	7.02074	4.4718	0.0774
6	25	c	9/8/2004	15:08	-152.685	58.635	88	73	72.305	6.6185	25.0425	31.9185	70.56056	7.01822	4.476	0.0772
6	25	c	9/8/2004	15:08	-152.685	58.635	88	74	73.295	6.5931	25.0474	31.9207	70.4689	7.0132	4.4764	0.0754
6	25	c	9/8/2004	15:08	-152.685	58.635	88	75	74.285	6.5769	25.052	31.9239	70.33292	7.00218	4.4759	0.0786
6	25	c	9/8/2004	15:08	-152.685	58.635	88	76	75.276	6.4908	25.0776	31.9425	70.07713	6.99006	4.4658	0.0772
6	25	c	9/8/2004	15:08	-152.685	58.635	88	77	76.266	6.4546	25.0901	31.9526	70.03384	6.99124	4.4726	0.0789
6	25	c	9/8/2004	15:08	-152.685	58.635	88	78	77.256	6.4334	25.0952	31.9557	69.95058	6.9863	4.4731	0.0772
6	25	c	9/8/2004	15:08	-152.685	58.635	88	79	78.247	6.3636	25.1094	31.9626	69.91186	6.99364	4.4723	0.0769
6	25	c	9/8/2004	15:08	-152.685	58.635	88	80	79.237	6.326	25.1217	31.9723	69.79868	6.98808	4.4692	0.0788
6	25	c	9/8/2004	15:08	-152.685	58.635	88	81	80.227	6.2882	25.1379	31.9868	69.52424	6.96618	4.4694	0.0776
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	1	0.991	11.7376	22.8138	30.0743	98.58236	8.84182	3.873	0.7089
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	2	1.981	11.7951	22.7703	30.0314	99.34531	8.90164	3.8411	0.6589
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	3	2.972	11.8238	22.7477	30.0088	98.91835	8.85916	3.8335	0.7886
